task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
C++,2026-06-16T17:13:59,Confronto_ML,5b525c0a-6dbd-4df7-8832-fa512d48aa4c,0.5167302209997615,1.1872675062405846e-06,2.2968302145084865e-06,2.7196075384,0.0,10.0,7.683452910044758e-07,0.0,2.8216241277770377e-06,3.5899694187815134e-06,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0.0,0.0,0.0,N
Python,2026-06-16T17:14:03,Confronto_ML,5b525c0a-6dbd-4df7-8832-fa512d48aa4c,3.43583943800013,4.765294187636849e-06,1.386882601796099e-06,2.9496540256,0.0,10.0,3.4765835118944912e-06,0.0,1.0932351555555266e-05,1.4408935067449756e-05,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0.0,0.0,0.0,N
R,2026-06-16T17:14:09,Confronto_ML,5b525c0a-6dbd-4df7-8832-fa512d48aa4c,5.232972101000087,6.230450394478194e-06,1.1905965617432773e-06,2.5764263896000004,0.0,10.0,2.914391800025413e-06,0.0,1.5924771458334262e-05,1.8839163258359675e-05,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0.0,0.0,0.0,N
Julia,2026-06-16T17:14:57,Confronto_ML,5b525c0a-6dbd-4df7-8832-fa512d48aa4c,46.33273677899979,5.0988027837215016e-05,1.1004735512629059e-06,2.395169567034043,0.0,10.0,2.408484599917065e-05,0.0,0.00013008888460277728,0.00015417373060194793,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0.0,0.0,0.0,N
Java,2026-06-16T17:14:59,Confronto_ML,5b525c0a-6dbd-4df7-8832-fa512d48aa4c,1.0981595920002292,1.8796785798178386e-06,1.7114852693617437e-06,2.4770262710672344,0.0,10.0,1.2452020742603051e-06,0.0,4.438427422222616e-06,5.683629496482914e-06,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0.0,0.0,0.0,N
