timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud,pue,wue
2026-06-16T16:33:28,Confronto_ML,54cc3ac9-cb6e-4c50-8c18-ce5bd43655c2,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.3330887789999224,6.292415074790013e-05,2.6970319909931825e-05,1.7918384774083336,0.0,10.0,3.144818113021095e-05,0.0,0.0001588170924499,0.0001902652735802,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0,19.6,2.241046905517578,N,1.0,0.0
2026-06-16T16:45:30,Confronto_ML,f556544b-d700-4158-96e0-da660b9af715,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.170378203999917,6.255413188815176e-05,2.882176561341572e-05,1.7956288312587236,0.0,10.0,2.9552870127438385e-05,0.0,0.0001595935684944,0.0001891464386218,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0,29.2,3.3446807861328125,N,1.0,0.0
2026-06-16T16:53:50,Confronto_ML,2da35600-939e-4427-8262-5bd86551a797,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.606368475000181,0.0001530317908966,5.871456486851002e-05,2.108515626435977,0.0,10.0,7.344311438805337e-05,0.0,0.0003892828058722,0.0004627259202602,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,100.0,0,28.9,3.3115692138671875,N,1.0,0.0
2026-06-16T17:14:59,Confronto_ML,5b525c0a-6dbd-4df7-8832-fa512d48aa4c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.603320237999924,6.505126683815274e-05,2.498780821837357e-05,2.330863325889362,0.0,10.0,3.248985936948196e-05,0.0,0.00016420722648055567,0.00019669708585003763,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0,30.6,3.5064163208007812,N,1.0,0.0
