System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:18:39:269, 510223690121634,    0.101,   11.000, 1200,  13.225,   1.342,   0.373,   1.968,   0.200,   0.055, 41,  0,   0.565,   0.057,   0.016,  95.000, 131.000,   0.000,   0.000,   0.000
13:18:39:377, 510224077629061,    0.209,   10.000,  800,  12.467,   2.684,   0.746,   1.460,   0.357,   0.099, 41,  0,   0.533,   0.115,   0.032,  95.000, 131.000,   0.000,   0.000,   0.000
13:18:39:486, 510224470834685,    0.318,   11.000,  800,  12.378,   4.036,   1.121,   1.328,   0.502,   0.139, 41,  0,   0.536,   0.173,   0.048,  95.000, 131.000,   0.000,   0.000,   0.000
13:18:39:594, 510224858257969,    0.426,    8.000, 1100,  16.349,   5.796,   1.610,   5.202,   1.062,   0.295, 41,  0,   0.623,   0.240,   0.067,  95.000, 131.000,   0.000,   0.000,   0.000
13:18:39:703, 510225251142815,    0.535,    6.000, 1800,  14.703,   7.400,   2.056,   3.650,   1.460,   0.406, 41,  0,   0.546,   0.300,   0.083,  95.000, 131.000,   0.000,   0.000,   0.000
13:18:39:809, 510225633670527,    0.641,    8.000, 4100,  15.148,   9.010,   2.503,   4.068,   1.892,   0.526, 43,  0,   0.604,   0.364,   0.101,  95.000, 131.000,   0.000,   0.000,   0.000
13:18:39:919, 510226027414749,    0.751,    5.000, 3000,  16.082,  10.769,   2.991,   4.909,   2.429,   0.675, 41,  0,   0.581,   0.428,   0.119,  95.000, 131.000,   0.000,   0.000,   0.000
13:18:40:028, 510226419626563,    0.860,    8.000, 3600,  17.942,  12.723,   3.534,   6.845,   3.175,   0.882, 41,  0,   0.606,   0.494,   0.137,  95.000, 131.000,   0.000,   0.000,   0.000
13:18:40:135, 510226806730801,    0.967,    5.000, 3900,  15.640,  14.405,   4.001,   4.614,   3.671,   1.020, 41,  0,   0.558,   0.554,   0.154,  95.000, 131.000,   0.000,   0.000,   0.000
13:18:40:244, 510227199837196,    1.076,    7.000, 4100,  17.368,  16.302,   4.528,   6.169,   4.345,   1.207, 42,  0,   0.603,   0.620,   0.172,  95.000, 131.000,   0.000,   0.000,   0.000
13:18:40:245, 510227203101419,    1.077,   13.000, 4100,   0.000,  16.302,   4.528,  23.089,   4.366,   1.213, 42,  0,   0.000,   0.620,   0.172,  95.000, 131.000,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 1.077313
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 16.301697
Cumulative Processor Energy_0 (mWh) = 4.528249
Average Processor Power_0 (Watt) = 15.131816

Cumulative IA Energy_0 (Joules) = 4.365540
Cumulative IA Energy_0 (mWh) = 1.212650
Average IA Power_0 (Watt) = 4.052249

Cumulative DRAM Energy_0 (Joules) = 0.619507
Cumulative DRAM Energy_0 (mWh) = 0.172085
Average DRAM Power_0 (Watt) = 0.575048
