task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
C++,2026-06-16T16:32:30,Confronto_ML,54cc3ac9-cb6e-4c50-8c18-ce5bd43655c2,0.5041374639999958,1.0698039144499157e-06,2.121788863550017e-06,1.6000081000000002,0.0,10.0,4.465721763157513e-07,0.0,2.7882197444442784e-06,3.23479192076003e-06,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0.0,0.0,0.0,N
Python,2026-06-16T16:32:48,Confronto_ML,54cc3ac9-cb6e-4c50-8c18-ce5bd43655c2,17.290868342000067,2.0042201944378936e-05,1.1591146137291882e-06,1.9315478864000002,0.0,10.0,1.1184012016053591e-05,0.0,4.941807781388895e-05,6.0602089829942537e-05,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0.0,0.0,0.0,N
R,2026-06-16T16:32:54,Confronto_ML,54cc3ac9-cb6e-4c50-8c18-ce5bd43655c2,4.731603996999979,5.668103842277405e-06,1.1978916218647342e-06,1.8860876578666668,0.0,10.0,2.60861870809407e-06,0.0,1.4530163705555633e-05,1.713878241364971e-05,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0.0,0.0,0.0,N
Julia,2026-06-16T16:33:26,Confronto_ML,54cc3ac9-cb6e-4c50-8c18-ce5bd43655c2,31.321384254999998,3.4726864740544124e-05,1.108724618837471e-06,1.8844369897125002,0.0,10.0,1.6613264983582773e-05,0.0,8.839119422500013e-05,0.00010500445920858289,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0.0,0.0,0.0,N
Java,2026-06-16T16:33:28,Confronto_ML,54cc3ac9-cb6e-4c50-8c18-ce5bd43655c2,0.8281697329999815,1.4166260871152723e-06,1.7103994905476284e-06,1.83020329289,0.0,10.0,5.95220485285503e-07,0.0,3.688266011111016e-06,4.283486496396526e-06,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0.0,0.0,0.0,N
