task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
C++,2026-06-16T16:51:28,Confronto_ML,2da35600-939e-4427-8262-5bd86551a797,0.5040022989999215,1.0696586402178147e-06,2.121933312069851e-06,1.600225,0.0,10.0,4.4653390989081873e-07,0.0,2.787818741666746e-06,3.2343526515575647e-06,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0.0,0.0,0.0,N
Python,2026-06-16T16:51:32,Confronto_ML,2da35600-939e-4427-8262-5bd86551a797,3.144193059000145,4.131232494161544e-06,1.3138881300747222e-06,1.9709267056000002,0.0,10.0,2.370340785559933e-06,0.0,1.0121366633333334e-05,1.2491707418893268e-05,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0.0,0.0,0.0,N
R,2026-06-16T16:53:00,Confronto_ML,2da35600-939e-4427-8262-5bd86551a797,86.58815659700008,9.494572340605058e-05,1.0965179278087366e-06,1.9364317867272731,0.0,10.0,4.5176211167371243e-05,0.0,0.0002419134646472217,0.000287089675814593,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0.0,0.0,0.0,N
Julia,2026-06-16T16:53:47,Confronto_ML,2da35600-939e-4427-8262-5bd86551a797,46.304317344999845,5.0913113644134513e-05,1.099530212261057e-06,1.9125948220539655,0.0,10.0,2.3936319686820672e-05,0.0,0.00013001089106111108,0.00015394721074793178,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0.0,0.0,0.0,N
Java,2026-06-16T16:53:49,Confronto_ML,2da35600-939e-4427-8262-5bd86551a797,1.1018641859996023,1.971471516541332e-06,1.7890926612317225e-06,2.2101957117231725,0.0,10.0,1.5132013734314498e-06,0.0,4.447984641667009e-06,5.961186015098472e-06,0.0,Italy,ITA,piedmont,,,Linux-6.17.0-20-generic-x86_64-with-glibc2.39,3.12.3,3.2.8,4,Intel(R) Celeron(R) N5095 @ 2.00GHz,0,,7.689,45.0729,11.456951141357422,machine,0.0,0.0,0.0,0.0,N
