System Time,RDTSC,Elapsed Time (sec), CPU Utilization(%),CPU Frequency_0(MHz),Processor Power_0(Watt),Cumulative Processor Energy_0(Joules),Cumulative Processor Energy_0(mWh),IA Power_0(Watt),Cumulative IA Energy_0(Joules),Cumulative IA Energy_0(mWh),Package Temperature_0(C),Package Hot_0,DRAM Power_0(Watt),Cumulative DRAM Energy_0(Joules),Cumulative DRAM Energy_0(mWh),Package PL1_0(Watt),Package PL2_0(Watt),Package PL4_0(Watt),Platform PsysPL1_0(Watt),Platform PsysPL2_0(Watt)
13:25:47:334, 2378972950035121,    3.148,   20.000, 4100,  32.443, 105.440,  29.289,  21.437,  70.247,  19.513, 58,  0,   0.916,   3.066,   0.852,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:47:442, 2378973340788851,    3.256,    9.000, 1500,  20.108, 107.623,  29.895,   8.854,  71.208,  19.780, 49,  0,   0.696,   3.141,   0.873,  95.000, 131.000,   0.000,   0.000,   0.000
13:25:47:445, 2378973351078642,    3.259,   27.000, 1500,  16.635, 107.670,  29.908,   5.125,  71.223,  19.784, 49,  0,   0.833,   3.144,   0.873,  95.000, 131.000,   0.000,   0.000,   0.000

Total Elapsed Time (sec) = 3.259121
Measured RDTSC Frequency (GHz) = 3.600

Cumulative Processor Energy_0 (Joules) = 107.670349
Cumulative Processor Energy_0 (mWh) = 29.908430
Average Processor Power_0 (Watt) = 33.036619

Cumulative IA Energy_0 (Joules) = 71.222839
Cumulative IA Energy_0 (mWh) = 19.784122
Average IA Power_0 (Watt) = 21.853387

Cumulative DRAM Energy_0 (Joules) = 3.143738
Cumulative DRAM Energy_0 (mWh) = 0.873260
Average DRAM Power_0 (Watt) = 0.964597
